,Unnamed: 0,Amount per serving,% Daily Value*
0,"Vitamin A, IU : 300",300.0,
1,"Vitamin D, IU : 60",60.0,
2,"Vitamin E, IU : 1.5",1.5,
3,"Vitamin K, mcg : 8",8.0,
4,"Thiamin (Vitamin B1), mcg : 100",100.0,
5,"Riboflavin (Vitamin B2), mcg : 150",150.0,
6,"Vitamin B6, mcg : 60",60.0,
7,"Vitamin B12, mcg : 0.3",0.3,
8,"Niacin, mcg : 1050",1050.0,
9,"Folic Acid (Folacin), mcg : 15",15.0,
10,"Pantothenic Acid, mcg : 450",450.0,
11,"Biotin, mcg : 5",5.0,
12,"Vitamin C (Ascorbic Acid), mg : 9",9.0,
13,"Choline, mg : 12",12.0,
14,"Inositol, mg : 24",24.0,
